IsActiveMember,CustomerID,Surname,CreditScore,RiskLevel,Geography,Gender,Age,AgeGroup,Tenure,TenureGroup,Balance,NumuberofProducts,AccountType,HasCrCard,IsActiveMember,EstimatedSalary,CustomerValue,IncomeGroup,Exited,ChurnFlag
1,15634602,Hargrave,619,Medium Risk,France,Female,42,Middle Age,2,New,0,1,Basic,1,1,101348.88,Medium Value,High,1,Churned
2,15647311,Hill,608,Medium Risk,Spain,Female,41,Middle Age,1,New,83807.86,1,Basic,0,1,112542.58,Medium Value,High,0,Retained
3,15619304,Onio,502,Medium Risk,France,Female,42,Middle Age,8,Loyal,159660.8,3,Premium,1,0,113931.57,High Value,High,1,Churned
4,15701354,Boni,699,Medium Risk,France,Female,39,Middle Age,1,New,0,2,Standard,0,0,93826.63,Medium Value,Medium,0,Retained
5,15737888,Mitchell,850,Low Risk,Spain,Female,43,Middle Age,2,New,125510.82,1,Basic,1,1,79084.1,Medium Value,Medium,0,Retained
6,15574012,Chu,645,Medium Risk,Spain,Male,44,Middle Age,8,Loyal,113755.78,2,Standard,1,0,149756.71,High Value,High,1,Churned
7,15592531,Bartlett,822,Low Risk,France,Male,50,Middle Age,7,Loyal,0,2,Standard,1,1,10062.8,Low value,Low,0,Retained
8,15656148,Obinna,376,High Risk,Germany,Female,29,Adolescence,4,Established,115046.74,4,Premium,1,0,119346.88,High Value,High,1,Churned
9,15792365,He,501,Medium Risk,France,Male,44,Middle Age,4,Established,142051.07,2,Standard,0,1,74940.5,Medium Value,Medium,0,Retained
10,15592389,H?,684,Medium Risk,France,Male,27,Adolescence,2,New,134603.88,1,Basic,1,1,71725.73,Medium Value,Medium,0,Retained
11,15767821,Bearce,528,Medium Risk,France,Male,31,Middle Age,6,Loyal,102016.72,2,Standard,0,0,80181.12,Medium Value,Medium,0,Retained
12,15737173,Andrews,497,High Risk,Spain,Male,24,Adolescence,3,Established,0,2,Standard,1,0,76390.01,Medium Value,Medium,0,Retained
13,15632264,Kay,476,High Risk,France,Female,34,Middle Age,10,Very Loyal,0,2,Standard,1,0,26260.98,Low value,Low,0,Retained
14,15691483,Chin,549,Medium Risk,France,Female,25,Adolescence,5,Established,0,2,Standard,0,0,190857.79,High Value,High,0,Retained
15,15600882,Scott,635,Medium Risk,Spain,Female,35,Middle Age,7,Loyal,0,2,Standard,1,1,65951.65,Medium Value,Medium,0,Retained
16,15643966,Goforth,616,Medium Risk,Germany,Male,45,Middle Age,3,Established,143129.41,2,Standard,0,1,64327.26,Medium Value,Medium,0,Retained
17,15737452,Romeo,653,Medium Risk,Germany,Male,58,Old,1,New,132602.88,1,Basic,1,0,5097.67,Low value,Low,1,Churned
18,15788218,Henderson,549,Medium Risk,Spain,Female,24,Adolescence,9,Very Loyal,0,2,Standard,1,1,14406.41,Low value,Low,0,Retained
19,15661507,Muldrow,587,Medium Risk,Spain,Male,45,Middle Age,6,Loyal,0,1,Basic,0,0,158684.81,Medium Value,High,0,Retained
20,15568982,Hao,726,Low Risk,France,Female,24,Adolescence,6,Loyal,0,2,Standard,1,1,54724.03,Medium Value,Medium,0,Retained
21,15577657,McDonald,732,Low Risk,France,Male,41,Middle Age,8,Loyal,0,2,Standard,1,1,170886.17,High Value,High,0,Retained
22,15597945,Dellucci,636,Medium Risk,Spain,Female,32,Middle Age,8,Loyal,0,2,Standard,1,0,138555.46,High Value,High,0,Retained
23,15699309,Gerasimov,510,Medium Risk,Spain,Female,38,Middle Age,4,Established,0,1,Basic,1,0,118913.53,Medium Value,High,1,Churned
